sige,time,eps,Tabs
20.66164,21.96685185,0.1040149,318.15
20.64218,21.98770833,0.104058,318.15
20.67735,22.00856481,0.1040969,318.15
20.64941,22.02943287,0.104136,318.15
20.64264,22.05027778,0.104178,318.15
20.68058,22.07111111,0.1042246,318.15
20.64685,22.09199074,0.1042607,318.15
20.6437,22.1128125,0.1042971,318.15
20.65113,22.13366898,0.1043381,318.15
20.65028,22.15453704,0.1043789,318.15
20.65653,22.17539352,0.1044192,318.15
20.64572,22.19625,0.1044575,318.15
20.65432,22.21710648,0.1044969,318.15
20.64164,22.23795139,0.1045406,318.15
20.64321,22.2587963,0.1045792,318.15
20.64588,22.27962963,0.1046198,318.15
20.65084,22.30048611,0.1046654,318.15
20.6618,22.32136574,0.1047056,318.15
20.64342,22.34221065,0.1047392,318.15
20.66137,22.36306713,0.1047832,318.15
20.64161,22.38392361,0.1048262,318.15
20.66797,22.40479167,0.1048643,318.15
20.65175,22.42561343,0.1049066,318.15
20.64264,22.44648148,0.1049496,318.15
20.65868,22.46733796,0.1049862,318.15
20.64687,22.48818287,0.10503,318.15
20.64606,22.50903935,0.1050689,318.15
20.65108,22.52990741,0.105111,318.15
20.64152,22.55074074,0.1051452,318.15
20.64584,22.57159722,0.1051928,318.15
20.64276,22.5924537,0.1052293,318.15
20.64831,22.61328704,0.1052734,318.15
20.6529,22.63413194,0.1053085,318.15
20.6555,22.65498843,0.1053533,318.15
20.64302,22.67585648,0.105387,318.15
20.64145,22.69670139,0.1054346,318.15
20.65296,22.71755787,0.1054763,318.15
20.64578,22.73837963,0.1055114,318.15
20.6478,22.75924769,0.1055558,318.15
20.64474,22.78010417,0.1055886,318.15
20.655,22.80097222,0.1056344,318.15
20.65486,22.82181713,0.1056697,318.15
20.64504,22.84265046,0.1057177,318.15
20.64969,22.86351852,0.1057492,318.15
20.67055,22.884375,0.105792,318.15
20.66615,22.90523148,0.1058349,318.15
20.6536,22.92607639,0.1058715,318.15
